Lok_Sabha_Names
"A. Raja, Shri "
"Muniswamy, Shri S."
"Muraleedharan, Shri K."
"Murmu, Shri  Khagen"
"Nagar, Shri Rodmal"
"Naik, Shri Shripad Yesso"
"Nallakonda Gari, Shri Reddeppa"
"Natarajan, Shri P.R."
"Nath, Shri Nakul K."
"Nishad, Shri Ajay"
"Nishank, Dr. Ramesh Pokhriyal"
"Oram, Shri Jual"
"Paarivendhar, Dr. T. R."
"Pal , Shri Jagdambika"
"Palanimanickam, Shri S.S."
"Pandey, Dr. Mahendra Nath"
"Pandey, Shri Santosh"
"Parkash, Shri Som"
"Pasunoori, Shri Dayakar"
"Paswan, Shri Chirag"
"Patel, Smt. Anupriya"
"Patel, Shri Gajendra Singh"
"Patel, Dr. K. C."
"Patel, Shri Lalubhai Babubhai"
"Patel, Shri Parbatbhai Savabhai"
"Patel, Shri R.K. Singh"
"Pathak, Smt. Riti"
"Patil, Shri Bheemrao Baswanthrao"
"Patil, Shri Gyaneshwar"
"Patil, Shri Kapil Moreshwar"
"Patil, Shri Shriniwas Dadasaheb"
"Pawar, Dr. Bharati Pravin"
"Pon, Dr. Gautham Sigamani"
"Prakash, Adv. Adoor"
"Prasad, Shri Chandeshwar"
"Prasad, Shri V. Sreenivasa"
"Prathapan, Shri T.N."
"Prince Raj, Shri "
"Raghavan, Shri M. K."
"Rahaman, Shri  Khalilur"
"Rajenimbalkar, Shri Omprakash Bhupalsingh alias Pavan"
"Rajoria, Dr. Manoj"
"Ram, Shri Vishnu Dayal"
"Ramalingam, Shri Sellaperumal"
"Rana, Smt Navneet Ravi"
"Rao, Shri Nama Nageswara"
Rao Inderjit Singh
"Rathod, Shri Ratansinh Magansinh"
"Rathva, Smt. Gitaben Vajesingbhai"
"Ravikumar, Dr. D."
"Rawat, Shri Ashok Kumar"
"Rawat, Shri  Upendra Singh"
"Ray, Prof. Sougata"
"Reddy, Shri Anumula Revanth"
"Reddy, Shri  Komati Reddy Venkat"
"Reddy, Shri Magunta Sreenivasulu"
"Reddy, Shri  Uttam Kumar Nalamada"
"Rehman, Shri   Haji Fazlur"
"Roy, Dr.  Jayanta Kumar"
"Roy, Dr. Rajdeep"
"Rudy, Shri Rajiv Pratap"
"Sadique,  Mohammad"
"Sahoo, Shri Mahesh"
"Sahu, Shri Chunni Lal"
"Samadani, Dr. M. P. Abdussamad"
"Sangma, Smt. Agatha K."
"Sarangi, Smt. Aparajita"
"Saraswati, Shri Sumedhanand"
"Sarkar, Shri  Jagannath"
"Satyanarayana, Shri M V V"
"Sawant, Shri Arvind Ganpat"
"Selvaraj, Shri Muniyan"
"Seth, Shri Sanjay"
"Shah, Shri Amit Anil Chandra"
"Sharma, Shri  Anurag"
"Sharma, Shri Jugal Kishore"
"Sharma, Dr. Mahesh"
"Shejwalkar, Shri Vivek Narayan"
"Shetty, Shri Gopal Chinayya"
"Shinde, Dr. Shrikant Eknath"
"Shrangare, Shri Sudhakar Tukaram"
"Siddeshwara, Shri Gowdar Mallikarjunappa"
"Simha, Shri Prathap"
"Singh, Dr. Amar"
"Singh, Shri  Atul Kumar"
"Singh, Shri Brijbhushan Sharan"
"Singh, Shri  Chandan"
"Singh, Shri Dushyant"
"Singh, Shri Giriraj"
"Singh, Dr. Jitendra"
"Singh, Shri Kirti Vardhan"
"Singh, Shri Mahabali"
"Singh, Shri Parvesh Sahib"
"Singh, Shri Pradeep Kumar"
"Singh, Shri Radha Mohan"
